1,ADAMat ,アダム,,バンド紹介本文,"キーボーディスト、ADAM at（本名の TAMADAを逆から読むとADAM atになることから命名)を中⼼に 2011年静岡県浜松のライヴハウスでインストゥルメンタル・セッション・バンドとして活動を開始。
2015年1月メジャー・デビュー・アルバム『CLOCK TOWER』をリリース。同年NHK プロ野球放送のテーマ曲として書き下ろした「六三四」は2015年より5年連続でテーマ曲として採用される。
2017年、2018年タワーレコード年間ジャズ・セールス・チャートでは日本人アーティストとして2年連続１位を獲得。数多くの国内外のフェスティヴァルにも出演する他、CM音楽など多数手掛ける。インストシーンの普及を図るべく、愛知アットFM「ジャミット」、静岡SBSラジオ「ADAM atの詞がないラジオ」と2本のレギュラー番組を担当し、2018年には自身の地元、浜松にてインストバンドのみ集めたインストフェス「INST-ALL FESTIVAL」を主催し話題となる。2019年7月7日「INST-ALL FESTIVAL 2019」開催。"
,,,,オフィシャルweb  URL,http://adamat.info/
,,,,Facebook,https://www.facebook.com/adamat1026
,,,, Instagram,https://www.instagram.com/adamat1026
,,,,Twitter,https://twitter.com/ADAMat1026
2,韻シスト,インシ,◯,バンド紹介本文,"生々しく独創的でグルーヴィーなサウンドと極上のライブパフォーマンスが圧倒的な評価を受け続ける、大阪をベースに活動するファンキーグルーヴマスターと称される唯一無二のヒップホップバンド。数度のメンバー・チェンジを経て、2 MC(BASI, サッコン)、Gtr. (TAKU)、Bass (Shyoudog)、Drs.(TAROW-ONE)からなる鉄壁の現メンバーとなる。1998年の結成当初から大阪を拠点として活動し、日本におけるヒップホップ・バンドのパイオニア的存在として、またミュージシャンズ・ミュージシャンとして高い評価を受け続けている。2001年3月、デビュー作となるミニ・アルバム「ONE DAY」(RD RECORDS) をリリース。以来、これまでに5枚のフル・アルバム、4枚のミニアルバム、4枚のシングルをリリース。Shyoudog、TAKU、TAROW-ONEからなる韻シストBANDとしても1枚のアルバムをリリースしている。その他、客演も多数。2016年にはPUSHIMが主催するレーベル“Groovillage”へ合流。6月15日には通算6枚目、約2年8ヶ月振りとなるオリジナル・アルバム「CLASSIX」のリリース。偶数月には大阪、東京での主催イベント「NeighborFood」も開催中。評判が評判を呼び満員御礼で継続開催されるなど、大阪、東京を中心に各地で韻シスト・マニアが確かな足取りで増殖中。2017年7月には、新たな韻シストサウンドを縦横無尽に展開した意欲作「Another Day」をリリース。2018年2月にはPUSHIMとのコラボ・ミニアルバム「TO THE NEXT」をリリース。6月にはバンド結成20周年を記念し、地元なんばHatchでの3daysスペシャルイベントを豪華ゲストを迎え大成功させた。そして、同年8月には20周年記念アルバム「IN-FINITY」を、2019年2月には初のライブ作品「NEW ALBUM IN-FINITY RELEASE TOUR 2018 at UMEDA CLUB QUATTRO」(DVD＋CD)を立て続けにリリース。2019年4月には、超満員の大阪城野外音楽堂で初の主催野外フェス“OSAKA GOOD VIBES”を開催。また、８月には早くもミニアルバム「SHINE」をリリースする。"
,,,,オフィシャルweb  URL,http://www.in-sist.com/
,,,,Facebook,https://www.facebook.com/%E9%9F%BB%E3%82%B7%E3%82%B9%E3%83%88-471714619598564/
,,,, Instagram,https://www.instagram.com/in_sistagram
,,,,Twitter,https://twitter.com/insist_official
3,Wool & The Pants,ウール,◯,バンド紹介本文,東京アンダーグラウンド唯一無二の密室的オブスキュア・ミニマル・メロウ・ファンク＆ソウル・グルーヴが圧倒的に癖になるギター、ベース、ドラムのトリオバンド
,,,,オフィシャルweb  URL,
,,,,Facebook,
,,,, Instagram,https://www.instagram.com/woolandthepants
,,,,Twitter,
4,el,エル,,バンド紹介本文,
,,,,オフィシャルweb  URL,
,,,,Facebook,
,,,, Instagram,
,,,,Twitter,
5,粉川心＋MELRAW＋a,こがわ,,バンド紹介本文,
6,jizue,ジズー,,バンド紹介本文,"2006年結成。
これまで6枚のフルアルバムを発表し、そのどれもがロングセラーを記録。ロックや、ハードコアに影響を受けた魂を揺さぶるような力強さ、ジャズの持つスウィング感、叙情的な旋律が絶妙なバランスで混ざり合ったサウンドで、地元京都を中心に人気を高め、『FUJI ROCK FESTIVAL』、『GREENROOM FESTIVAL』、『朝霧JAM』といった大型フェスにも出演。
国内に留まらず、カナダ、インドネシア、中国、台湾など、海外にも進出し、その圧倒的な演奏力で高い評価を得ている。
2017年10月、ミニアルバム『grassroots』でビクターよりメジャー・デビュー。
2018年7月、6枚目のフルアルバム『ROOM』をリリース。
2019年7月、コンセプト・アルバム『gallery』をリリース。
2019年10月には京都市交響楽団サポートによる初のオーケストラ公演を開催。
2020年2月26日、オーケストラでのライブを収録した『jizue orchestra Live at Kyoto Concert Hall 2019.10.19』を配信＆DVDでリリース。
2020年9月、7枚目のフルアルバム『Seeds』をリリース。"
,,,,オフィシャルweb  URL,https://www.jizue.com/
,,,,Facebook,https://www.facebook.com/jizue
,,,, Instagram,https://www.instagram.com/jizue_jpn
,,,,Twitter,https://twitter.com/jizue
